comment_id,comment,related_comments,claim_id,claim,source
107038684,"Možná by si na CO2 měla paní redaktorka začít dávat velký pozor, aby se tou toxickou zplodinou neotrávila při pití bublinkové limonády, nebo sodovky.","['Mně stačí nevěřícně zírat, když redaktorka ve zprávách prohlásí, že je potřeba snížit znečištění splodinami co2? Vysvětlil jim někdo, že co2 je normální součást naší atmosféry a nic znečišťujícího na něm není? Je to bezbarvý plyn a vydechuje ho každý živočich!']",107038684_1,CO2 je toxická zplodina.,Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107036575,"Možná by si na CO2 měla paní redaktorka začít dávat velký pozor, aby se tou toxickou zplodinou neotrávila při pití bublinkové limonády, nebo sodovky.","['Mně stačí nevěřícně zírat, když redaktorka ve zprávách prohlásí, že je potřeba snížit znečištění splodinami co2? Vysvětlil jim někdo, že co2 je normální součást naší atmosféry a nic znečišťujícího na něm není? Je to bezbarvý plyn a vydechuje ho každý živočich!']",107038684_2,Redaktorka by se mohla s CO2 otrávit. ,Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107036597,"Jasně a všechna běžná auta s cenou kolem 500tis. se vyrábí výhradně pro východní Evropu, se proberte.","['Pro Němce to nejsou žádné velkém peníze a navíc tam mají dotace.', 'No předpokládám, že jejich voliči jim to v dalších volbách vysvětlí.. Nebo si všichni půjdou koupit elektromobil za 1,5mega?']",107036706_1,Všechna běžná auta s cenou kolem 500 tisíc CZK se vyrábějí výhradně pro východní Evropu.,Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107036613,A peníze na ty dotace si tisknou? Dotace na elektromobilitu fungují jen dokud je elektromobilita minoritní záležitostí.,"['Pro Němce to nejsou žádné velkém peníze a navíc tam mají dotace.', 'No předpokládám, že jejich voliči jim to v dalších volbách vysvětlí.. Nebo si všichni půjdou koupit elektromobil za 1,5mega?']",107039332_1,"Dotace na elektromobilitu fungují jen, dokud je elektromobilita menšinovou záležitostí.",Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107036706,"Nepadla tu ještě zajímavá věc, že po prvním omezení dopravy kvůli coroně se tam emise zvýšily, a nikdo neví proč... Ale naměřené to bylo.",[],107036538_1,V Německu se po prvním omezení dopravy kvůli koroně emise zvýšily.,Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107039332,"Nepadla tu ještě zajímavá věc, že po prvním omezení dopravy kvůli coroně se tam emise zvýšily, a nikdo neví proč... Ale naměřené to bylo.",[],107036538_2,"Není jasné, proč se emise v Německu po prvním omezení dopravy kvůli koroně zvýšily.",Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107036538,"Corona způsobila jeden zajímavý jev. Lidé se začali více vyhýbat MHD a dost lidí si koupilo do rodiny další vůz pro dojíždění do práce právě místo využití MHD ... a většinou to byla starší, levná vozidla odpovídající starším normám ... tedy produkující více emisí. Taky už EU dumá nad tím, jak omezit prodej ojetin.","['Nepadla tu ještě zajímavá věc, že po prvním omezení dopravy kvůli coroně se tam emise zvýšily, a nikdo neví proč... Ale naměřené to bylo.']",107036865_1,"Korona způsobila, že se lidé více začali vyhýbat MHD.",Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107036865,"Corona způsobila jeden zajímavý jev. Lidé se začali více vyhýbat MHD a dost lidí si koupilo do rodiny další vůz pro dojíždění do práce právě místo využití MHD ... a většinou to byla starší, levná vozidla odpovídající starším normám ... tedy produkující více emisí. Taky už EU dumá nad tím, jak omezit prodej ojetin.","['Nepadla tu ještě zajímavá věc, že po prvním omezení dopravy kvůli coroně se tam emise zvýšily, a nikdo neví proč... Ale naměřené to bylo.']",107036865_2,Hodně lidí si pořídilo do rodiny další vůz na dojíždění do práce místo využívání MHD.,Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107037316,"Corona způsobila jeden zajímavý jev. Lidé se začali více vyhýbat MHD a dost lidí si koupilo do rodiny další vůz pro dojíždění do práce právě místo využití MHD ... a většinou to byla starší, levná vozidla odpovídající starším normám ... tedy produkující více emisí. Taky už EU dumá nad tím, jak omezit prodej ojetin.","['Nepadla tu ještě zajímavá věc, že po prvním omezení dopravy kvůli coroně se tam emise zvýšily, a nikdo neví proč... Ale naměřené to bylo.']",107036865_2,Většinou byla nově kupovaná vozidla kvůli koroně starší.,Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
107037363,"Corona způsobila jeden zajímavý jev. Lidé se začali více vyhýbat MHD a dost lidí si koupilo do rodiny další vůz pro dojíždění do práce právě místo využití MHD ... a většinou to byla starší, levná vozidla odpovídající starším normám ... tedy produkující více emisí. Taky už EU dumá nad tím, jak omezit prodej ojetin.","['Nepadla tu ještě zajímavá věc, že po prvním omezení dopravy kvůli coroně se tam emise zvýšily, a nikdo neví proč... Ale naměřené to bylo.']",107036865_2,Levná starší vozidla odpovídají starším emisním normám.,Nejpřísnější zákaz dieselů Německa staví na odhadech. Pětiletá auta na odpis
